?ingredient	?ingLab
<http://purl.obolibrary.org/obo/DRON_00014000>	Alexitol sodium
<http://purl.obolibrary.org/obo/DRON_00014612>	Carbenoxolone
<http://purl.obolibrary.org/obo/DRON_00016544>	Cascara sagrada
<http://purl.obolibrary.org/obo/DRON_00012605>	Bethanidine
<http://purl.obolibrary.org/obo/DRON_00014061>	Lidoflazine
<http://purl.obolibrary.org/obo/DRON_00014062>	Prenylamine
<http://purl.obolibrary.org/obo/DRON_00014473>	bamethan
<http://purl.obolibrary.org/obo/DRON_00014879>	Cyclandelate
<http://purl.obolibrary.org/obo/DRON_00010713>	Ethamsylate
<http://purl.obolibrary.org/obo/DRON_00010595>	Dextrothyroxine
<http://purl.obolibrary.org/obo/DRON_00017033>	reproterol
<http://purl.obolibrary.org/obo/DRON_00013651>	Isoetharine
<http://purl.obolibrary.org/obo/DRON_00017119>	oxtriphylline
<http://purl.obolibrary.org/obo/DRON_00017020>	diphenylpyraline
<http://purl.obolibrary.org/obo/DRON_00010935>	ketazolam
<http://purl.obolibrary.org/obo/DRON_00015244>	Medazepam
<http://purl.obolibrary.org/obo/DRON_00017172>	Amobarbital
<http://purl.obolibrary.org/obo/DRON_00014650>	Chlorprothixene
<http://purl.obolibrary.org/obo/DRON_00013647>	Iprindole
<http://purl.obolibrary.org/obo/DRON_00013648>	Iproniazid
<http://purl.obolibrary.org/obo/DRON_00011652>	Thiethylperazine
<http://purl.obolibrary.org/obo/DRON_00010962>	Levorphanol
<http://purl.obolibrary.org/obo/DRON_00016917>	Meperidine
<http://purl.obolibrary.org/obo/DRON_00014042>	Beclamide
<http://purl.obolibrary.org/obo/DRON_00017022>	phenethicillin
<http://purl.obolibrary.org/obo/DRON_00017007>	Talampicillin
<http://purl.obolibrary.org/obo/DRON_00013655>	clomocycline
<http://purl.obolibrary.org/obo/DRON_00010988>	Lymecycline
<http://purl.obolibrary.org/obo/DRON_00015013>	Framycetin
<http://purl.obolibrary.org/obo/DRON_00013949>	Calcium sulfaloxate
<http://purl.obolibrary.org/obo/DRON_00015585>	phthalylsulfathiazole
<http://purl.obolibrary.org/obo/DRON_00018229>	Sulfadimethoxine
<http://purl.obolibrary.org/obo/DRON_00013954>	Sulfaguanidine
<http://purl.obolibrary.org/obo/DRON_00015832>	sulfanilylurea
<http://purl.obolibrary.org/obo/DRON_00012403>	Amodiaquine
<http://purl.obolibrary.org/obo/DRON_00018225>	Pyrimethamine
<http://purl.obolibrary.org/obo/DRON_00013657>	glibornuride
<http://purl.obolibrary.org/obo/DRON_00013658>	glymidine
