?ingredient	?ingLab
<http://purl.obolibrary.org/obo/DRON_00020326>	function-inhibiting vitamin K epoxide reductase binding disposition
<http://purl.obolibrary.org/obo/DRON_00020325>	function-inhibiting L-type voltage-gated calcium channel binding disposition
<http://purl.obolibrary.org/obo/DRON_00723854>	function-inhibiting cytochrome P450 2D6 (CYP2D6) binding disposition
<http://purl.obolibrary.org/obo/DRON_00723856>	cytochrome P450 isoenzyme 2D6 (CYP2D6) substrate disposition
<http://purl.obolibrary.org/obo/DRON_00000041>	function-activating kappa receptor binding disposition
<http://purl.obolibrary.org/obo/DRON_00000037>	function-activating mu receptor binding disposition
<http://purl.obolibrary.org/obo/DRON_00000039>	function-activating delta receptor binding disposition
<http://purl.obolibrary.org/obo/DRON_00723855>	cytochrome P450 isoenzyme 2C19 (CYP2C19) substrate disposition
<http://purl.obolibrary.org/obo/DRON_00698710>	function-inhibiting cytochrome P450 2C19 (CYP2C19) binding disposition
<http://purl.obolibrary.org/obo/DRON_00020323>	non-activating competitive beta-adrenergic receptor binding disposition
<http://purl.obolibrary.org/obo/DRON_00723853>	function-inhibiting angiotensin-converting enzyme binding disposition
<http://purl.obolibrary.org/obo/DRON_00020327>	function-inhibiting Na-K-Cl cotransporter 2 (NKCC2) binding disposition
<http://purl.obolibrary.org/obo/DRON_00000040>	function-inhibiting kappa receptor binding disposition
<http://purl.obolibrary.org/obo/DRON_00724207>	function-inhibiting angiotensin receptor binding disposition
<http://purl.obolibrary.org/obo/DRON_00020328>	function-inhibiting T-type calcium channel binding disposition
<http://purl.obolibrary.org/obo/DRON_00020324>	function-inhibiting hydrogen/potassium adenosine triphosphatase enzyme (H+/K+ ATPase) binding disposition
<http://purl.obolibrary.org/obo/DRON_00000036>	function-inhibiting mu receptor binding disposition
<http://purl.obolibrary.org/obo/DRON_00000038>	function-inhibiting delta receptor binding disposition
<http://purl.obolibrary.org/obo/DRON_00010006>	Aprotinin
<http://purl.obolibrary.org/obo/DRON_00010007>	Intramuscular immunoglobulin
<http://purl.obolibrary.org/obo/DRON_00010026>	Potassium bitartrate
<http://purl.obolibrary.org/obo/DRON_00010027>	Paraldehyde
<http://purl.obolibrary.org/obo/DRON_00010039>	paregoric
<http://purl.obolibrary.org/obo/DRON_00010043>	Butylated Hydroxytoluene
<http://purl.obolibrary.org/obo/DRON_00010059>	Tromethamine
<http://purl.obolibrary.org/obo/DRON_00010063>	Dihematoporphyrin Ether
<http://purl.obolibrary.org/obo/DRON_00010065>	Streptozocin
<http://purl.obolibrary.org/obo/DRON_00010072>	Acetylcholine
<http://purl.obolibrary.org/obo/DRON_00010081>	Ambenonium
<http://purl.obolibrary.org/obo/DRON_00010082>	AMERICAN GINSENG ROOT
<http://purl.obolibrary.org/obo/DRON_00010083>	Aminoglutethimide
<http://purl.obolibrary.org/obo/DRON_00010084>	Aminolevulinic Acid
<http://purl.obolibrary.org/obo/DRON_00010087>	anisindione
<http://purl.obolibrary.org/obo/DRON_00010092>	ASTRAGALUS ROOT
<http://purl.obolibrary.org/obo/DRON_00010111>	Hydroxychloroquine
<http://purl.obolibrary.org/obo/DRON_00010112>	HYMENOPTERA ALLERGENIC EXTRACT
<http://purl.obolibrary.org/obo/DRON_00010118>	iocetamic acid
<http://purl.obolibrary.org/obo/DRON_00010124>	irbesartan
<http://purl.obolibrary.org/obo/DRON_00010126>	Isocarboxazid
<http://purl.obolibrary.org/obo/DRON_00010130>	iso-sulfan blue
<http://purl.obolibrary.org/obo/DRON_00010134>	Juniper extract
<http://purl.obolibrary.org/obo/DRON_00010143>	Acenocoumarol
<http://purl.obolibrary.org/obo/DRON_00010150>	acetophenazine
<http://purl.obolibrary.org/obo/DRON_00010153>	acrivastine
<http://purl.obolibrary.org/obo/DRON_00010157>	Albendazole
<http://purl.obolibrary.org/obo/DRON_00010158>	Alcuronium
<http://purl.obolibrary.org/obo/DRON_00010161>	Algestone
<http://purl.obolibrary.org/obo/DRON_00010164>	alizapride
<http://purl.obolibrary.org/obo/DRON_00010167>	Allylestrenol
<http://purl.obolibrary.org/obo/DRON_00010169>	aloglutamol
<http://purl.obolibrary.org/obo/DRON_00010172>	Alseroxylon
<http://purl.obolibrary.org/obo/DRON_00010173>	Alteplase
<http://purl.obolibrary.org/obo/DRON_00010174>	Altretamine
<http://purl.obolibrary.org/obo/DRON_00010178>	Aluminum aspirin
<http://purl.obolibrary.org/obo/DRON_00010179>	Aluminum carbonate
<http://purl.obolibrary.org/obo/DRON_00010189>	Amdinocillin
<http://purl.obolibrary.org/obo/DRON_00010191>	amezinium
<http://purl.obolibrary.org/obo/DRON_00010195>	amineptin
<http://purl.obolibrary.org/obo/DRON_00010200>	aminohydroxybutyric acid
<http://purl.obolibrary.org/obo/DRON_00010223>	Ancrod
<http://purl.obolibrary.org/obo/DRON_00010226>	anileridine
<http://purl.obolibrary.org/obo/DRON_00010237>	Apazone
<http://purl.obolibrary.org/obo/DRON_00010239>	habekacin
<http://purl.obolibrary.org/obo/DRON_00010251>	Atovaquone
<http://purl.obolibrary.org/obo/DRON_00010260>	bacampicillin
<http://purl.obolibrary.org/obo/DRON_00010261>	bambuterol
<http://purl.obolibrary.org/obo/DRON_00010275>	benfluorex
<http://purl.obolibrary.org/obo/DRON_00010282>	bentiromide
<http://purl.obolibrary.org/obo/DRON_00010285>	benzarone
<http://purl.obolibrary.org/obo/DRON_00010286>	Benzbromarone
<http://purl.obolibrary.org/obo/DRON_00010295>	Bepridil
<http://purl.obolibrary.org/obo/DRON_00010301>	Bezafibrate
<http://purl.obolibrary.org/obo/DRON_00010302>	bifemelane
<http://purl.obolibrary.org/obo/DRON_00010323>	BISMUTH HYDROXIDE
<http://purl.obolibrary.org/obo/DRON_00010335>	Bran
<http://purl.obolibrary.org/obo/DRON_00010337>	brinzolamide
<http://purl.obolibrary.org/obo/DRON_00010351>	bromperidol
<http://purl.obolibrary.org/obo/DRON_00010354>	brotizolam
<http://purl.obolibrary.org/obo/DRON_00010360>	bumadizone
<http://purl.obolibrary.org/obo/DRON_00010367>	butethamate citrate
<http://purl.obolibrary.org/obo/DRON_00010369>	butriptyline
<http://purl.obolibrary.org/obo/DRON_00010392>	Calcium oxide
<http://purl.obolibrary.org/obo/DRON_00010401>	Canthaxanthin
<http://purl.obolibrary.org/obo/DRON_00010402>	capecitabine
<http://purl.obolibrary.org/obo/DRON_00010405>	Carbarson
<http://purl.obolibrary.org/obo/DRON_00010407>	Carbenicillin
<http://purl.obolibrary.org/obo/DRON_00010409>	Carbimazole
<http://purl.obolibrary.org/obo/DRON_00010413>	Carboprost
<http://purl.obolibrary.org/obo/DRON_00010441>	ceftibuten
<http://purl.obolibrary.org/obo/DRON_00010443>	Celiprolol
<http://purl.obolibrary.org/obo/DRON_00010446>	Cephalothin
<http://purl.obolibrary.org/obo/DRON_00010449>	Cerivastatin sodium
